City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sept-Iles,CA,2021-09-08 13:03:03,50.2001,-66.3821,59.25,86,99,3.0
68,Narayangarh,IN,2021-09-08 13:03:56,30.4833,77.1333,82.98,73,59,4.23
69,Yerbogachen,RU,2021-09-08 13:03:57,61.2767,108.0108,47.98,90,100,1.48
70,Puerto Baquerizo Moreno,EC,2021-09-08 13:03:57,-0.9,-89.6,69.82,84,69,16.96
71,Lasa,IT,2021-09-08 13:03:57,46.6166,10.7002,76.91,70,89,5.84
72,Santa Cruz De Tenerife,ES,2021-09-08 13:03:57,28.4682,-16.2546,88.59,69,0,8.05
73,Puerto Ayora,EC,2021-09-08 13:03:58,-0.7393,-90.3518,68.56,94,97,11.99
74,Saskylakh,RU,2021-09-08 13:03:58,71.9167,114.0833,42.91,52,100,11.36
75,Arraial Do Cabo,BR,2021-09-08 13:03:58,-22.9661,-42.0278,73.26,73,75,23.02
76,Isiro,CD,2021-09-08 13:03:58,2.7739,27.616,85.59,51,100,1.7
77,Geraldton,AU,2021-09-08 13:03:59,-28.7667,114.6,59.41,88,0,6.91
78,Alta Floresta,BR,2021-09-08 12:59:57,-9.8756,-56.0861,93.04,34,9,5.28
79,Salym,RU,2021-09-08 13:03:59,60.0625,71.4789,48.61,69,25,4.74
80,Crestview,US,2021-09-08 13:03:59,30.7621,-86.5705,78.08,82,20,3.0
81,Acarau,BR,2021-09-08 13:04:00,-2.8856,-40.12,84.04,62,50,14.88
82,Hilo,US,2021-09-08 13:02:49,19.7297,-155.09,73.27,85,95,3.0
83,Barmer,IN,2021-09-08 13:04:00,25.75,71.3833,95.5,44,100,13.11
84,Chuncheng,CN,2021-09-08 13:04:00,22.1731,111.7886,78.91,89,100,1.99
85,Pangnirtung,CA,2021-09-08 13:04:00,66.1451,-65.7125,40.08,47,14,6.67
86,Peskovka,RU,2021-09-08 13:04:01,59.0448,52.3606,50.5,89,90,7.27
87,Qaanaaq,GL,2021-09-08 13:04:01,77.484,-69.3632,15.08,64,18,8.16
88,Kapaa,US,2021-09-08 13:04:01,22.0752,-159.319,79.12,77,75,1.99
89,Vanimo,PG,2021-09-08 13:04:02,-2.6741,141.3028,78.6,87,61,7.63
90,Beloha,MG,2021-09-08 13:04:02,-25.1667,45.05,79.81,32,0,12.93
91,Nanyuki,KE,2021-09-08 13:00:13,0.0167,37.0728,70.43,53,97,4.21
92,Amahai,ID,2021-09-08 13:04:02,-3.3333,128.9167,77.23,91,69,7.4
93,Talnakh,RU,2021-09-08 13:04:03,69.4865,88.3972,49.21,70,85,7.47
94,Nanortalik,GL,2021-09-08 13:04:03,60.1432,-45.2371,46.42,85,100,1.32
95,Wewak,PG,2021-09-08 13:04:03,-3.5534,143.6268,80.19,85,45,11.52
96,Nhulunbuy,AU,2021-09-08 13:04:04,-12.2333,136.7667,77.61,73,90,17.27
97,Ancud,CL,2021-09-08 13:02:16,-41.8697,-73.8203,47.43,83,88,5.5
98,Katherine,AU,2021-09-08 13:04:04,-14.4667,132.2667,80.92,36,0,11.5
99,Sitka,US,2021-09-08 13:04:05,57.0531,-135.33,57.09,88,90,10.36
100,Victoria,HK,2021-09-08 13:02:21,22.2855,114.1577,88.32,66,32,1.01
101,Airai,TL,2021-09-08 13:04:05,-8.9266,125.4092,57.99,84,45,4.47
102,Bijar,IR,2021-09-08 13:04:05,35.8668,47.6051,84.9,13,0,14.23
103,Guerrero Negro,MX,2021-09-08 13:04:05,27.9769,-114.0611,70.43,86,28,10.67
104,Ponta Do Sol,PT,2021-09-08 13:04:06,32.6667,-17.1,81.12,74,5,1.97
105,Esperance,AU,2021-09-08 13:04:06,-33.8667,121.9,61.02,68,0,3.8
106,Nalut,LY,2021-09-08 13:02:18,30.3333,10.85,88.47,20,0,10.09
107,Klaksvik,FO,2021-09-08 13:04:06,62.2266,-6.589,50.92,90,100,12.55
108,Butaritari,KI,2021-09-08 13:04:07,3.0707,172.7902,83.23,76,7,17.96
109,Vestmanna,FO,2021-09-08 13:04:07,62.1564,-7.1664,49.12,100,90,12.66
110,Ottawa,CA,2021-09-08 13:04:07,45.4112,-75.6981,62.8,97,75,5.99
111,Hobart,AU,2021-09-08 13:04:07,-42.8794,147.3294,57.06,56,75,5.01
112,Sovetskiy,RU,2021-09-08 13:04:08,61.3614,63.5842,42.82,82,100,4.29
113,Iqaluit,CA,2021-09-08 13:04:08,63.7506,-68.5145,41.9,47,100,8.21
114,Willowmore,ZA,2021-09-08 13:04:08,-33.2926,23.4895,68.7,16,6,8.41
115,Kawalu,ID,2021-09-08 13:04:08,-7.3817,108.2082,70.2,97,20,1.88
116,Chiredzi,ZW,2021-09-08 13:04:09,-21.05,31.6667,80.29,42,28,11.16
117,Polyarnyye Zori,RU,2021-09-08 13:04:09,67.3661,32.4981,43.92,95,100,4.05
118,Thompson,CA,2021-09-08 13:04:09,55.7435,-97.8558,54.93,87,100,7.38
119,Imbituba,BR,2021-09-08 13:02:42,-28.24,-48.6703,65.93,92,100,15.86
120,Evensk,RU,2021-09-08 13:04:10,61.95,159.2333,35.35,59,11,8.66
121,Nikolskoye,RU,2021-09-08 13:04:10,59.7035,30.7861,62.49,71,100,13.71
122,Yamada,JP,2021-09-08 13:04:10,39.4667,141.95,65.97,94,100,8.32
123,Portree,GB,2021-09-08 13:04:11,57.4129,-6.1942,64.04,83,100,3.0
124,Harper,LR,2021-09-08 13:04:11,4.375,-7.7169,81.5,75,97,6.64
125,La Ronge,CA,2021-09-08 13:04:11,55.1001,-105.2842,49.78,93,0,5.19
126,Taber,CA,2021-09-08 13:04:12,49.8167,-112.1518,57.25,44,100,9.6
127,Los Andes,CL,2021-09-08 13:04:12,-32.8337,-70.5983,37.17,35,0,1.74
128,Flinders,AU,2021-09-08 13:04:12,-34.5833,150.8552,57.06,78,7,1.01
129,Sokoni,TZ,2021-09-08 13:04:13,-6.4333,39.55,78.01,75,0,14.72
130,Clyde River,CA,2021-09-08 13:04:13,70.4692,-68.5914,32.59,58,83,14.52
131,Katobu,ID,2021-09-08 13:04:13,-4.9408,122.5276,75.42,84,94,5.95
132,Tiksi,RU,2021-09-08 13:04:14,71.6872,128.8694,35.67,75,10,9.1
133,Antofagasta,CL,2021-09-08 13:03:54,-23.65,-70.4,65.21,57,2,8.48
134,Kapchorwa,UG,2021-09-08 13:04:14,1.3965,34.4509,69.4,64,77,3.53
135,Grand Gaube,MU,2021-09-08 13:04:14,-20.0064,57.6608,73.38,65,14,10.0
136,Dudinka,RU,2021-09-08 13:04:15,69.4058,86.1778,47.8,79,100,8.12
137,Talovaya,RU,2021-09-08 13:04:15,51.1144,40.73,64.29,36,100,11.7
138,Makakilo City,US,2021-09-08 13:01:53,21.3469,-158.0858,75.29,82,0,12.33
139,Timbiqui,CO,2021-09-08 13:04:16,2.7717,-77.6654,76.14,92,71,2.53
140,Touros,BR,2021-09-08 13:04:16,-5.1989,-35.4608,86.9,64,39,18.03
141,Ostrovnoy,RU,2021-09-08 13:04:16,68.0531,39.5131,42.39,77,100,4.07
142,Chumikan,RU,2021-09-08 13:04:17,54.7183,135.315,58.21,93,100,2.57
143,Dikson,RU,2021-09-08 13:04:17,73.5069,80.5464,42.82,90,100,16.04
144,Doha,QA,2021-09-08 13:04:17,25.2867,51.5333,104.31,53,0,8.05
145,Pevek,RU,2021-09-08 13:04:18,69.7008,170.3133,31.68,82,100,6.89
146,Kaitangata,NZ,2021-09-08 13:04:18,-46.2817,169.8464,45.88,68,100,19.28
147,Longyearbyen,SJ,2021-09-08 13:04:18,78.2186,15.6401,39.04,60,75,10.36
148,Kupang,ID,2021-09-08 13:04:18,-10.1667,123.5833,78.35,68,74,15.82
149,Lalibela,ET,2021-09-08 13:04:19,12.0333,39.0333,73.13,43,62,7.85
150,Atuona,PF,2021-09-08 13:04:19,-9.8,-139.0333,77.31,79,23,15.03
151,Burns Lake,CA,2021-09-08 13:00:10,54.2331,-125.7533,50.95,82,100,3.04
152,Rancho Palos Verdes,US,2021-09-08 13:04:20,33.7445,-118.387,69.94,94,62,1.99
153,Tromso,NO,2021-09-08 13:04:20,69.6496,18.957,50.65,87,75,14.97
154,Kattivakkam,IN,2021-09-08 13:04:20,13.2167,80.3167,89.69,72,100,15.41
155,Ouesso,CG,2021-09-08 13:04:21,1.6136,16.0517,89.4,48,52,1.39
